0,0,1
10,0.173648178,0.984807753
20,0.342020143,0.939692621
30,0.5,0.866025404
40,0.64278761,0.766044443
50,0.766044443,0.64278761
60,0.866025404,0.5
70,0.939692621,0.342020143
80,0.984807753,0.173648178
90,1,0
100,0.984807753,-0.173648178
110,0.939692621,-0.342020143
120,0.866025404,-0.5
130,0.766044443,-0.64278761
140,0.64278761,-0.766044443
150,0.5,-0.866025404
160,0.342020143,-0.939692621
170,0.173648178,-0.984807753
180,0,-1
190,-0.173648178,-0.984807753
200,-0.342020143,-0.939692621
210,-0.5,-0.866025404
220,-0.64278761,-0.766044443
230,-0.766044443,-0.64278761
240,-0.866025404,-0.5
250,-0.939692621,-0.342020143
260,-0.984807753,-0.173648178
270,-1,0
280,-0.984807753,0.173648178
290,-0.939692621,0.342020143
300,-0.866025404,0.5
310,-0.766044443,0.64278761
320,-0.64278761,0.766044443
330,-0.5,0.866025404
340,-0.342020143,0.939692621
350,-0.173648178,0.984807753
360,0,1
370,0.173648178,0.984807753
380,0.342020143,0.939692621
390,0.5,0.866025404
400,0.64278761,0.766044443
410,0.766044443,0.64278761
420,0.866025404,0.5
430,0.939692621,0.342020143
440,0.984807753,0.173648178
450,1,0
460,0.984807753,-0.173648178
470,0.939692621,-0.342020143
480,0.866025404,-0.5
490,0.766044443,-0.64278761
500,0.64278761,-0.766044443
510,0.5,-0.866025404
520,0.342020143,-0.939692621
530,0.173648178,-0.984807753
540,0,-1
550,-0.173648178,-0.984807753
560,-0.342020143,-0.939692621
570,-0.5,-0.866025404
580,-0.64278761,-0.766044443
590,-0.766044443,-0.64278761
600,-0.866025404,-0.5
610,-0.939692621,-0.342020143
620,-0.984807753,-0.173648178
630,-1,0
640,-0.984807753,0.173648178
650,-0.939692621,0.342020143
660,-0.866025404,0.5
670,-0.766044443,0.64278761
680,-0.64278761,0.766044443
690,-0.5,0.866025404
700,-0.342020143,0.939692621
710,-0.173648178,0.984807753
720,0,1
730,0.173648178,0.984807753
740,0.342020143,0.939692621
750,0.5,0.866025404
760,0.64278761,0.766044443
770,0.766044443,0.64278761
780,0.866025404,0.5
790,0.939692621,0.342020143
800,0.984807753,0.173648178
810,1,0
820,0.984807753,-0.173648178
830,0.939692621,-0.342020143
840,0.866025404,-0.5
850,0.766044443,-0.64278761
860,0.64278761,-0.766044443
870,0.5,-0.866025404
880,0.342020143,-0.939692621
890,0.173648178,-0.984807753
900,0,-1
910,-0.173648178,-0.984807753
920,-0.342020143,-0.939692621
930,-0.5,-0.866025404
940,-0.64278761,-0.766044443
950,-0.766044443,-0.64278761
960,-0.866025404,-0.5
970,-0.939692621,-0.342020143
980,-0.984807753,-0.173648178
990,-1,0
1000,-0.984807753,0.173648178
1010,-0.939692621,0.342020143
1020,-0.866025404,0.5
1030,-0.766044443,0.64278761
1040,-0.64278761,0.766044443
1050,-0.5,0.866025404
1060,-0.342020143,0.939692621
1070,-0.173648178,0.984807753
1080,0,1
